,number,value,datetime_start,datetime_complete,duration,params_dimensionality_reduction,params_n_components_LDA,params_n_components_PCA,params_normalization,state
0,0,0.6957487543729012,2023-01-15 16:52:06.001285,2023-01-15 16:54:12.684457,0 days 00:02:06.683172,LDA,7.0,,,COMPLETE
1,1,0.2705082089324968,2023-01-15 16:52:06.004393,2023-01-15 16:52:42.241897,0 days 00:00:36.237504,LDA,1.0,,,COMPLETE
2,2,0.6236566302153969,2023-01-15 16:52:06.047521,2023-01-15 16:53:24.089797,0 days 00:01:18.042276,LDA,4.0,,,COMPLETE
3,3,0.6236566302153969,2023-01-15 16:52:06.070891,2023-01-15 16:53:47.918202,0 days 00:01:41.847311,LDA,4.0,,,COMPLETE
4,4,,2023-01-15 16:52:06.095418,,,PCA,,49.0,,RUNNING
5,5,,2023-01-15 16:52:06.118058,,,LDA,3.0,,,RUNNING
6,6,0.5359991226257107,2023-01-15 16:52:06.141448,2023-01-15 16:54:36.913464,0 days 00:02:30.772016,LDA,3.0,,,COMPLETE
7,7,0.8432726865536727,2023-01-15 16:52:06.165346,2023-01-15 16:52:59.177114,0 days 00:00:53.011768,PCA,,75.0,,COMPLETE
8,8,,2023-01-15 16:52:43.055862,,,LDA,6.0,,,RUNNING
9,9,,2023-01-15 16:52:59.481930,,,LDA,1.0,,,RUNNING
10,10,,2023-01-15 16:53:24.522807,,,LDA,2.0,,,RUNNING
11,11,,2023-01-15 16:53:48.218552,,,LDA,1.0,,,RUNNING
12,12,,2023-01-15 16:54:12.951283,,,LDA,7.0,,,RUNNING
13,13,0.8307124882874213,2023-01-15 16:58:54.867815,2023-01-15 16:59:24.589596,0 days 00:00:29.721781,PCA,,92.0,,COMPLETE
14,14,0.7261019521819352,2023-01-15 16:58:54.891712,2023-01-15 17:00:14.431452,0 days 00:01:19.539740,LDA,7.0,,,COMPLETE
15,15,0.5663107505964712,2023-01-15 16:58:54.914380,2023-01-15 16:59:49.936533,0 days 00:00:55.022153,LDA,3.0,,,COMPLETE
16,16,0.6638122309415512,2023-01-15 16:58:54.938660,2023-01-15 17:01:53.737091,0 days 00:02:58.798431,LDA,4.0,,,COMPLETE
17,17,0.8477258805809909,2023-01-15 16:58:54.960920,2023-01-15 17:00:50.939051,0 days 00:01:55.978131,PCA,,62.0,,COMPLETE
18,18,0.8436230226085234,2023-01-15 16:58:54.985181,2023-01-15 17:00:32.036937,0 days 00:01:37.051756,PCA,,54.0,,COMPLETE
19,19,0.8412431262991854,2023-01-15 16:58:55.007387,2023-01-15 17:01:09.635493,0 days 00:02:14.628106,PCA,,55.0,,COMPLETE
20,20,0.6884568207093852,2023-01-15 16:58:55.031446,2023-01-15 17:01:28.534305,0 days 00:02:33.502859,PCA,,3.0,,COMPLETE
21,21,0.8086141212725437,2023-01-15 16:59:25.154538,2023-01-15 17:02:11.263125,0 days 00:02:46.108587,PCA,,14.0,,COMPLETE
22,22,0.8364549754266968,2023-01-15 16:59:50.127953,2023-01-15 17:02:31.129697,0 days 00:02:41.001744,PCA,,96.0,,COMPLETE
23,23,0.7261019521819352,2023-01-15 17:00:14.591957,2023-01-15 17:02:56.684604,0 days 00:02:42.092647,LDA,7.0,,,COMPLETE
24,24,0.81645973125932,2023-01-15 17:00:32.286044,2023-01-15 17:03:14.856569,0 days 00:02:42.570525,PCA,,19.0,,COMPLETE
25,25,0.8267753157193551,2023-01-15 17:00:51.180391,2023-01-15 17:03:33.426976,0 days 00:02:42.246585,PCA,,35.0,,COMPLETE
26,26,0.8212093237074743,2023-01-15 17:01:09.801492,2023-01-15 17:03:52.597157,0 days 00:02:42.795665,PCA,,22.0,,COMPLETE
27,27,0.831735877342911,2023-01-15 17:01:28.782849,2023-01-15 17:04:11.614947,0 days 00:02:42.832098,PCA,,39.0,,COMPLETE
28,28,0.8314413055354082,2023-01-15 17:01:54.350453,2023-01-15 17:04:30.831580,0 days 00:02:36.481127,PCA,,42.0,,COMPLETE
29,29,0.8392092537187423,2023-01-15 17:02:11.394797,2023-01-15 17:04:49.426118,0 days 00:02:38.031321,PCA,,47.0,,COMPLETE
30,30,0.83574493663486,2023-01-15 17:02:31.303184,2023-01-15 17:05:08.332041,0 days 00:02:37.028857,PCA,,46.0,,COMPLETE
31,31,0.8333884544962871,2023-01-15 17:02:57.157547,2023-01-15 17:05:27.655013,0 days 00:02:30.497466,PCA,,44.0,,COMPLETE
32,32,0.8388044815776953,2023-01-15 17:03:15.426327,2023-01-15 17:05:46.654972,0 days 00:02:31.228645,PCA,,47.0,,COMPLETE
33,33,0.8374615898487958,2023-01-15 17:03:33.916989,2023-01-15 17:06:05.555701,0 days 00:02:31.638712,PCA,,55.0,,COMPLETE
34,34,0.8378527184898752,2023-01-15 17:03:52.773875,2023-01-15 17:06:24.351020,0 days 00:02:31.577145,PCA,,58.0,,COMPLETE
35,35,0.8420112636761565,2023-01-15 17:04:11.833835,2023-01-15 17:06:43.461007,0 days 00:02:31.627172,PCA,,67.0,,COMPLETE
